category,title,price,img_url,Brand,Material,Body Finish,Application Area,Contry of Origin,IP Rating,Warranty,Mounting System,Height,Diameter,Lamp Type,Length,Width,LED Color (CCT),Dimmable,Voice Control,Location,Cutout Diameter,Wattage,Voltage,Technical Specsheet
chandeliers,ANKUR CRISS CROSS THREEQ ROUND CONTEMPORARY CRYSTAL CHANDELIER,"₹ 32,500",//www.ankurlighting.com/cdn/shop/products/ankur-criss-cross-threeq-round-contemporary-crystal-chandelier-ankur-lighting-1.jpg?v=1695132393&width=1250,Ankur Lighting,Glass,Brushed Brass,Indoor (Dry Rated),,IP 20,12 Months,Surface,1500MM (4.92 feet.),#VALUE!,,,,,,,,,,,
chandeliers,ANKUR THE STRING OF PEARLS CHANDELIER,"₹ 34,500",//www.ankurlighting.com/cdn/shop/products/ankur-the-string-of-pearls-chandelier-ankur-lighting-1.jpg?v=1695132394&width=1250,Ankur Lighting,Metal,Brushed Brass,Indoor (Dry Rated),,,12 Months,Surface,1200MM (4 feet.),100MM (0.32 feet.),,,,,,,,,,,Download SpecSheet
chandeliers,ANKUR RECTANGULAR MANOOI STYLE CLEAR CRYSTAL CHANDELIER CUSTOMIZED,"₹ 32,500",//www.ankurlighting.com/cdn/shop/files/ankur-rectangular-manooi-style-clear-crystal-chandelier-customized-ankur-lighting-1.jpg?v=1695132320&width=1250,Ankur Lighting,Metal,,Indoor (Dry Rated),,IP 20,12 Months,Surface,,,LED SMD,1500MM (5 Feet),600MM (2 Feet),,,,,,,,
chandeliers,ANKUR ROUND CRYSTAL CHANDELIER WITH GOLD METAL PLATE,"₹ 48,500",//www.ankurlighting.com/cdn/shop/products/ankur-round-crystal-chandelier-with-gold-metal-plate-ankur-lighting-1.jpg?v=1695132187&width=1250,Ankur Lighting,Glass,Golden,Indoor (Dry Rated),,IP 20,12 Months,Surface,330MM (1.08 Feet),500MM (1.6 Feet),E14,,,,,,,,,,
chandeliers,ANKUR MAISON 6 LIGHTS MILKY GLOBE WITH GOLDEN METAL CHANDELIER,"₹ 24,500",//www.ankurlighting.com/cdn/shop/products/ankur-maison-6-lights-milky-globe-with-golden-metal-chandelier-ankur-lighting-1.jpg?v=1695132172&width=1250,Ankur Lighting,Metal,Gold,Indoor (Dry Rated),,IP 20,,Surface,390MM (1.27 feet.),,E27,510MM (1.67 feet.),510MM (1.67 feet.),,,,,,,,
chandeliers,ANKUR GEOM ABSTRACT MODERN CONTEMORARY LED CHANDELIER,"₹ 42,000",//www.ankurlighting.com/cdn/shop/products/ankur-geom-abstract-modern-contemorary-led-chandelier-ankur-lighting-1.jpg?v=1695132148&width=1250,Ankur Lighting,Metal,Gold,Indoor (Dry Rated),,IP 20,12 Months,Surface,,,LED SMD,1410MM (4.63 feet.),300MM (0.98 feet.),,,,,,,,
chandeliers,ANKUR 12 LIGHTS SUPREME GLOBE CHANDELIER,"₹ 22,800",//www.ankurlighting.com/cdn/shop/products/ankur-12-lights-supreme-globe-chandelier-ankur-lighting-1.jpg?v=1695131637&width=1250,Ankur Lighting,Metal,Black,Indoor (Dry Rated),,IP 20,12 Months,Surface,180MM (0.59 feet.),,E27,890MM (2.92 feet.),890MM (2.92 feet.),,No,,,,,,
chandeliers,ANKUR JONUS 8 LIGHT SMOKE GREY WITH BLACK METAL LINEAR CHANDELIER,"₹ 28,000",//www.ankurlighting.com/cdn/shop/products/ankur-jonus-8-light-smoke-grey-with-black-metal-linear-chandelier-ankur-lighting-1.jpg?v=1695131964&width=1250,Ankur Lighting,Metal,Black / smoke,Indoor (Dry Rated),,IP 20,12 Months,Surface,235MM (0.77 feet.),,G9,910MM (2.99 feet.),610MM (2 feet.),,,,,,,,
chandeliers,ANKUR SATURN 9 LIGHT GOLD CHANDELIER WITH MILKY WHITE GLOBE,"₹ 38,000",//www.ankurlighting.com/cdn/shop/products/ankur-saturn-9-light-gold-chandelier-with-milky-white-globe-ankur-lighting-1.jpg?v=1695131724&width=1250,Ankur Lighting,Metal,Gold,Indoor (Dry Rated),,,12 Months,Surface,1200MM (3.94 feet.),780MM (2.56 feet.),G4,,,,,,,,,220-240V,
chandeliers,ANKUR ROUND WU LAYERED SPARKLING CRYSTAL LED CHANDELIER,"₹ 48,500",//www.ankurlighting.com/cdn/shop/products/ankur-round-wu-layered-sparkling-crystal-led-chandelier-ankur-lighting-1.jpg?v=1695131407&width=1250,Ankur Lighting,Metal,Gold,Indoor (Dry Rated),,,12 Months,Surface,,800,LED SMD,,,,No,,,,,220-240V,
chandeliers,ANKUR ROMA 25 LIGHT CHAMPAGNE GLASS WITH GOLD METAL RADIANT CHANDELIER,"₹ 58,000",//www.ankurlighting.com/cdn/shop/products/ankur-roma-25-light-champagne-glass-with-gold-metal-radiant-chandelier-ankur-lighting-1.jpg?v=1695131746&width=1250,Ankur Lighting,Glass,Gold and Amber,Indoor (Dry Rated),,IP 20,12 Months,Surface,170MM (0.55 Feet),,G4,1270MM (4.16 Feet),520MM (1.70 Feet),,,,,,,,
chandeliers,ANKUR FIREFLY RING MODERN LED CHANDELIER,"₹ 34,500",//www.ankurlighting.com/cdn/shop/products/ankur-firefly-ring-chandelier-ankur-lighting-1.jpg?v=1695131936&width=1250,Ankur Lighting,Glass,Black,Indoor (Dry Rated),,IP 20,12 Months,Surface,(1.3 feet) 390MM,(3.7 feet) 1130MM,G4,,,,,,,,,,
chandeliers,ANKUR GLASS PENCIL ROUND GOLD LED HANGING CHANDELIER,"₹ 32,500",//www.ankurlighting.com/cdn/shop/products/ankur-glass-pencil-round-gold-led-hanging-chandelier-ankur-lighting-1.jpg?v=1695131407&width=1250,Ankur Lighting,Metal,Gold,,,,12 Months,Surface,,600MM (1.97 feet.),LED SMD,,,,With Dimmable Driver (Optional),,,,15,220-240,
chandeliers,ANKUR GLOBE CHANDELIER,"₹ 29,000",//www.ankurlighting.com/cdn/shop/products/ankur-globe-chandelier-ankur-lighting-1.jpg?v=1695131830&width=1250,Ankur Lighting,Metal,Gold / Black,Indoor (Dry Rated),,IP 20,12 Months,Surface,380MM (1.25 feet.),600MM (1.97 feet.),G9,,,,,,,,,,
chandeliers,ANKUR BROOKLYN 4 LIGHT BLACK METAL SPHERE CAGE CHANDELIER,"₹ 14,800",//www.ankurlighting.com/cdn/shop/products/ankur-brooklyn-4-light-black-metal-sphere-cage-chandelier-ankur-lighting-1.jpg?v=1695131782&width=1250,Ankur Lighting,Metal,Black / Amber,Indoor (Dry Rated),,IP 20,12 Months,Surface,,400MM (1.31 feet.),E27,,,,,,,,,,
chandeliers,12 LIGHT LINEAR GLOBE CHANDELIER,"₹ 36,000",//www.ankurlighting.com/cdn/shop/products/12-light-linear-globe-chandelier-ankur-lighting-1.jpg?v=1695131847&width=1250,Ankur Lighting,Metal,Gold Glass / Champagne Glass,Indoor (Dry Rated),,IP 20,12 Months,Surface,(3.5 feet) 1070,,E27,(4 feet) 1200,(1.3 feet) 410,,No,,,,,,
chandeliers,ANKUR HYDRON 10 LIGHT METAL AND MILKY GLOBE CHANDELIER,"₹ 19,800",//www.ankurlighting.com/cdn/shop/products/ankur-hydron-10-light-metal-and-milky-globe-chandelier-ankur-lighting-1.jpg?v=1695131764&width=1250,Ankur Lighting,Metal,Black,Indoor (Dry Rated),,IP 20,12 Months,Surface,180MM (0.59 feet.),,E27,890MM (2.92 feet.),520MM (1.71 feet.),,Yes,,Indoor (Dry Rated),,,,
chandeliers,ANKUR JONAS 8 LIGHT CHAMPAGNE GLASS WITH GOLDEN LINEAR CHANDELIER,"₹ 28,000",//www.ankurlighting.com/cdn/shop/products/ankur-jonas-8-light-champagne-glass-with-golden-linear-chandelier-ankur-lighting-1.jpg?v=1695131637&width=1250,Ankur Lighting,Metal,Gold / Amber,Indoor (Dry Rated),,IP 20,12 Months,Surface,235MM (0.77 feet.),,G9,910MM (2.99 feet.),610MM (2 feet.),,,,,,,,
chandeliers,ANKUR GLASS BUBBLES TREE CHANDELIER,"₹ 29,000",//www.ankurlighting.com/cdn/shop/products/ankur-glass-bubbles-tree-chandelier-ankur-lighting-1.png?v=1695131576&width=1250,Ankur Lighting,Glass,Gold,Indoor (Dry Rated),,IP 20,12 Months,Surface,(2 feet) 600,(2 feet) 600,G9,,,,,,,,,110-220V,
chandeliers,ANKUR GLASS BUBBLE RING CHANDELIER,"₹ 42,000",//www.ankurlighting.com/cdn/shop/products/ankur-glass-bubble-ring-chandelier-ankur-lighting-1.png?v=1695131654&width=1250,Ankur Lighting,Glass,Gold,Indoor (Dry Rated),,IP 20,12 Months,Surface,680MM (2.2 feet),680MM (2.2 feet),G4,,,,,,,,,,
chandeliers,ANKUR BURST 6 LIGHT MODERN CONTEMPORARY GOLDEN CHANDELIER WITH AMBER/CHAMPAGNE GLASSES,"₹ 54,500",//www.ankurlighting.com/cdn/shop/products/ankur-burst-6-light-modern-contemporary-golden-chandelier-with-amberchampagne-glasses-ankur-lighting-1.jpg?v=1695131796&width=1250,Ankur Lighting,Glass,Black / gold,Indoor (Dry Rated),,IP 20,12 Months,Surface,600MM (1.97 feet.),,E27,2200MM (7.22 feet.),570MM (1.87 feet.),,,,,,,,Download SpecSheet
chandeliers,ANKUR BURST 5 LIGHT MODERN CONTEMPORARY CHANDELIER,"₹ 59,000",//www.ankurlighting.com/cdn/shop/products/ankur-burst-5-light-modern-contemporary-chandelier-ankur-lighting-1.jpg?v=1695131724&width=1250,Ankur Lighting,Glass,Black / gold,Indoor (Dry Rated),,IP 20,12 Months,Surface,800MM (2.62 feet.),900MM (2.95 feet.),E27,,,,,,,,,,Download SpecSheet
chandeliers,ANKUR IRIS 8 LIGHT CLEAR CRYSTAL CHANDELIER,"₹ 52,000",//www.ankurlighting.com/cdn/shop/products/ankur-iris-8-light-clear-crystal-chandelier-ankur-lighting-1.jpg?v=1695131637&width=1250,Ankur Lighting,Glass,,Indoor (Dry Rated),,IP 20,12 Months,Surface,690MM (2.26 feet.),,E14,700MM (2.3 feet.),700MM (2.3 feet.),,,,,,,,
chandeliers,18 LIGHTS CROWN DIAMOND CRYSTAL CHANDELIER,"₹ 46,800",//www.ankurlighting.com/cdn/shop/products/18-lights-crown-diamond-crystal-chandelier-ankur-lighting-1.jpg?v=1695131913&width=1250,Ankur Lighting,Metal,Gold,Indoor (Dry Rated),,IP 20,12 Months,Surface,,,G9,610MM (2 feet.),570MM (1.87 feet.),,No,,,,,,
