category,title,price,img_url,Brand,Material,Body Finish,Application Area,Contry of Origin,IP Rating,Warranty,Mounting System,Height,Diameter,Lamp Type,Length,Width,LED Color (CCT),Dimmable,Voice Control,Location,Cutout Diameter,Wattage,Voltage,Technical Specsheet
wall-lights,ANKUR SLEEK MODERN UP/DOWN 2-WAY LED BEDSIDE WALL LIGHT,"₹ 4,600",//www.ankurlighting.com/cdn/shop/files/Sleek.jpg?v=1702036382&width=1250,,,Wood,Indoor (Dry Rated),India,,12 Months,Surface,260MM (0.85feet.),,,46MM (0.15feet.),47MM (0.15feet.),3000K,,,,,9,,
wall-lights,ANKUR UFO CONTEMPORARY LED WALL LIGHT,"₹ 7,450",//www.ankurlighting.com/cdn/shop/products/ankur-ufo-contemporary-led-wall-light-ankur-lighting-1.jpg?v=1695132822&width=1250,Ankur Lighting,Metal,RoseGold,Indoor (Dry Rated),China,IP 20,12 Months,Surface,150MM (0.5 feet),180MM (0.6 feet.),LED SMD,,,,No,,,,5,,
wall-lights,ANKUR BEDSIDE PULL-OUT LED WALL LIGHT,"₹ 2,900",//www.ankurlighting.com/cdn/shop/products/ankur-bedside-pull-out-led-wall-light-ankur-lighting-1.jpg?v=1695131703&width=1250,Ankur Lighting,Aluminium,Brushed Copper,Indoor (Dry Rated),,IP 20,12 Months,Surface,(6.7 inch) 170,,LED COB,,(2.7 inch) 68,3000K,,,,,3,700mA,
wall-lights,ANKUR HALF MOON RING LED WALL LIGHT,"₹ 5,800",//www.ankurlighting.com/cdn/shop/products/ankur-half-moon-ring-led-wall-light-ankur-lighting-1.jpg?v=1695132709&width=1250,Ankur Lighting,Metal,,Indoor (Dry Rated),China,IP 20,12 Months,Surface,280MM (0.91 feet),80MM (0.26 feet),LED SMD,,80,,,,,,,,
wall-lights,ANKUR CUT GLASS CYLINDER ADJUSTABLE MIRROR LED PICTURE WALL LIGHTS,"₹ 4,850",//www.ankurlighting.com/cdn/shop/products/ankur-cut-glass-cylinder-adjustable-mirror-led-picture-wall-lights-ankur-lighting-1.jpg?v=1695132683&width=1250,Ankur Lighting,Stainless Steel,Gold,Indoor (Dry Rated),,IP 54,12 Months,Surface,(6.1 inch) 155,(2.3 inch) 60,LED SMD,(1.9 feet) 585,,3000K,No,,,,,220-240V,
wall-lights,ANKUR CHROME AND GLASS BUBBLE CYLINDER PICTURE MIRROR LED WALL LIGHT,"₹ 3,850",//www.ankurlighting.com/cdn/shop/products/ankur-chrome-and-glass-bubble-cylinder-picture-mirror-led-wall-light-ankur-lighting-1.jpg?v=1695132620&width=1250,Ankur Lighting,Metal,Chrome,Indoor (Dry Rated),,IP 20,12 Months,Surface,(3.1 inch) 80,,LED SMD,(1.5 feet) 460,,Tunable 3CCT (3000K <-> 6500K),No,,,,6,220-240V,
wall-lights,ANKUR COPPER HAT WITH GLASS BUBBLE LED MIRROR PICTURE WALL LIGHT,"₹ 3,850",//www.ankurlighting.com/cdn/shop/products/ankur-copper-hat-with-glass-bubble-led-mirror-picture-wall-light-ankur-lighting-1.jpg?v=1695132555&width=1250,Ankur Lighting,Metal,Copper,Indoor (Dry Rated),,,12 Months,Surface,(4.3 inch) 110,(2 inch) 50,LED SMD,(1.5 feet) 460,,,No,,,,15,220-240V,
wall-lights,ANKUR ALLWIN LED WALL LIGHT,"₹ 3,450",//www.ankurlighting.com/cdn/shop/products/ankur-allwin-led-wall-light-ankur-lighting-1.jpg?v=1695132555&width=1250,Ankur Lighting,Glass,,Indoor (Dry Rated),,IP 20,12 Months,Surface,280MM (0.92 feet.),,LED SMD,220MM (0.72 feet.),15MM (0.05 feet.),,,,,,12,180-220V,
wall-lights,ANKUR CYLINDRICAL ONE-WAY OUTDOOR WALL LIGHT,"₹ 1,450",//www.ankurlighting.com/cdn/shop/products/ankur-cylindrical-one-way-outdoor-wall-light-ankur-lighting-1.jpg?v=1695132260&width=1250,Ankur Lighting,Aluminium,Graphite Grey,Outdoor (Wet Rated),,IP 6X,12 Months,Surface,100MM (0.32feet.),65MM (0.20feet.),LED COB,,,,No,,,,,,Download SpecSheet
wall-lights,ANKUR ACRYLIC BULKHEAD OUTDOOR RATED WALL LIGHT,"₹ 1,450",//www.ankurlighting.com/cdn/shop/products/ankur-acrylic-bulkhead-outdoor-rated-wall-light-ankur-lighting-1.jpg?v=1695132148&width=1250,Ankur Lighting,Aluminium,Graphite grey,Outdoor (Wet Rated),India,IP 54,12 Months,Surface,75MM (0.25 feet.),,LED SMD,185MM (0.61 feet.),95MM (0.31 feet.),,No,,,,10,AC100-240V,Download SpecSheet
wall-lights,ANKUR 2-WAY UP/DOWN FLAT OUTDOOR WALL LIGHT,"₹ 2,400",//www.ankurlighting.com/cdn/shop/products/ankur-2-way-updown-flat-outdoor-wall-light-ankur-lighting-1.jpg?v=1695132114&width=1250,Ankur Lighting,Aluminium,Graphite Grey,Outdoor (Wet Rated),India,IP 54,12 Months,Surface,104MM (0.34 feet.),,LED COB,64MM (0.21 feet.),34MM (0.11 feet.),,No,,,,2,AC100-240V,Download SpecSheet
wall-lights,ANKUR ASYMMETRICAL UP/DOWN GLOBE WALL LIGHT,"₹ 5,800",//www.ankurlighting.com/cdn/shop/products/ankur-asymmetrical-updown-globe-wall-light-ankur-lighting-1.jpg?v=1695131936&width=1250,Ankur Lighting,Glass,Antique brass / black,Indoor (Dry Rated),,IP 20,12 Months,Surface,430MM (1.41 feet.),,G9,290MM (0.95 feet.),170MM (0.56 feet.),,No,,,,,,
wall-lights,ANKUR CYLINDRICAL TWO-WAY OUTDOOR WALL LIGHT,"₹ 2,450",//www.ankurlighting.com/cdn/shop/products/ankur-cylindrical-two-way-outdoor-wall-light-ankur-lighting-1.jpg?v=1695131890&width=1250,Ankur Lighting,Aluminium,Graphite Grey,Outdoor (Wet Rated),,IP 6X,12 Months,Surface,200MM (0.65feet.),65MM (0.20feet.),LED COB,,,,No,,,,,,Download SpecSheet
wall-lights,ANKUR DOUBLE ARM HELMET WALL LIGHT,"₹ 4,600",//www.ankurlighting.com/cdn/shop/products/ankur-double-arm-helmet-wall-light-ankur-lighting-1.jpg?v=1695131846&width=1250,Ankur Lighting,Metal,Matt black,Indoor (Dry Rated),,IP 20,12 Months,Surface,500MM (1.64 feet.),,E27,250MM (0.82 feet.),250MM (0.82 feet.),,No,,,,,,
wall-lights,ANKUR PEAR WALL LIGHT WITH AMBER/COGNAC GLASS AND ANTIQUE BRASS FINISH,"₹ 7,800",//www.ankurlighting.com/cdn/shop/products/ankur-pear-wall-light-with-ambercognac-glass-and-antique-brass-finish-ankur-lighting-1.jpg?v=1695131796&width=1250,Ankur Lighting,Glass,Amber,Indoor (Dry Rated),,IP 20,12 Months,Surface,230MM (0.75 Feet),,E27,220MM (0.72 Feet),220MM (0.72 Feet),,,,,,,,
wall-lights,ANKUR VENUS BEDSIDE LED WALL LIGHT,"₹ 3,300",//www.ankurlighting.com/cdn/shop/products/ankur-venus-bedside-led-wall-light-ankur-lighting-1.jpg?v=1695131328&width=1250,Ankur Lighting,Aluminium,Light black + Brushed antique brass,Indoor (Dry Rated),,,12 Months,Surface,110MM (0.36feets.),30MM (0.10feets.),LED SMD,,,,No,,,,3,220-280V,
pendant-lights,ANKUR MODERN NORDIC DOME WITH NATURAL WOOD PENDANT LIGHT,"₹ 2,500",//www.ankurlighting.com/cdn/shop/products/ankur-modern-nordic-dome-with-natural-wood-pendant-light-ankur-lighting-1.png?v=1695131724&width=1250,Ankur Lighting,Aluminium,Black,Indoor (Dry Rated),India,IP 20,12 Months,Surface,260MM (0.85 feet.),330MM (1.08 feet.),E27,,,,,,,,,,
pendant-lights,ANKUR MODERN NORDIC CONE WITH NATURAL WOOD PENDANT LIGHTS,"₹ 1,850",//www.ankurlighting.com/cdn/shop/products/ankur-modern-nordic-cone-with-natural-wood-pendant-lights-ankur-lighting-1.jpg?v=1695131247&width=1250,Ankur Lighting,Aluminium,White,Indoor (Dry Rated),India,,12 Months,Surface,280MM (0.92feet.),255MM (0.84feet.),E27,,,,Yes,,,,,,
pendant-lights,ANKUR TOM DIXON WIDE PENDANT LIGHT,₹ 950,//www.ankurlighting.com/cdn/shop/products/ankur-tom-dixon-wide-pendant-light-ankur-lighting-1.jpg?v=1695131382&width=1250,Ankur Lighting,Metal,Gold,Indoor (Dry Rated),,,12 Months,Surface,185MM (0.60 feet.),340MM (1.11 feet.),E27,,,,,,,,,,
pendant-lights,ANKUR NORDIC SLIM CONE NATURAL WOOD AND METAL PENDANT LIGHT,"₹ 1,650",//www.ankurlighting.com/cdn/shop/products/ankur-nordic-slim-cone-natural-wood-and-metal-pendant-light-ankur-lighting-1.jpg?v=1695131421&width=1250,Ankur Lighting,Aluminium,,Indoor (Dry Rated),India,,12 Months,Surface,280MM (11inches),110MM (4.3inches),E27,,,,,,,,,,
pendant-lights,ANKUR QUEST VINTAGE STYLE METAL AND GLASS HANGING LIGHT,"₹ 8,650",//www.ankurlighting.com/cdn/shop/products/ankur-quest-vintage-style-metal-and-glass-hanging-light-ankur-lighting-1.webp?v=1695131936&width=800,Ankur Lighting,Glass,Amber,Indoor (Dry Rated),China,,12 Months,,210MM (8.3 inches),265MM (10.4 inches),E27,,,,,,,,,,
pendant-lights,ACORN NORDIC STYLE METAL WITH WOOD TOP PENDANT LIGHT,"₹ 2,450",//www.ankurlighting.com/cdn/shop/products/acorn-nordic-style-metal-with-wood-top-pendant-light-ankur-lighting-1.jpg?v=1695131616&width=1250,Ankur Lighting,Aluminium,Black / White,Indoor (Dry Rated),,IP 20,12 Months,Surface,225MM (0.7 Feet),355MM ((1.2 Feet),E27,,,,No,,,,,,
pendant-lights,ANKUR TAMBOR LED DRUM PENDANT LIGHT,"₹ 5,800",//www.ankurlighting.com/cdn/shop/products/ankur-tambor-led-drum-pendant-light-ankur-lighting-1.jpg?v=1695132226&width=1250,Ankur Lighting,Aluminium,,Indoor (Dry Rated),,,12 Months,Surface,,,LED SMD,,,,,,,,,180-240V,
pendant-lights,ANKUR NORDIC WIDE METAL AND NATURAL WOOD PENDANT LIGHT,"₹ 3,400",//www.ankurlighting.com/cdn/shop/products/ankur-nordic-wide-metal-and-natural-wood-pendant-light-ankur-lighting-1.png?v=1695131597&width=1250,Ankur Lighting,Aluminium,Black,,India,,12 Months,Surface,150,450,E27,,,,,,,,,,
pendant-lights,ANKUR TOM DIXON CONE PENDANT LIGHT,₹ 950,//www.ankurlighting.com/cdn/shop/products/ankur-tom-dixon-cone-pendant-light-ankur-lighting-1.jpg?v=1695131382&width=1250,Ankur Lighting,Metal,Gold,Indoor (Dry Rated),,,12 Months,Surface,390MM (1.27 feet.),190MM (0.62 feet.),E27,,,,,,,,,80-240V,
pendant-lights,ANKUR PENTA GLO GLASS HANGING LIGHT,"₹ 4,200",//www.ankurlighting.com/cdn/shop/products/ankur-penta-glo-glass-hanging-light-ankur-lighting-1.jpg?v=1695132734&width=1250,Ankur Lighting,Glass,Rosegold,Indoor (Dry Rated),India,IP 20,12 Months,Surface,,200MM (0.65 feet.),G4,,,,,,,,,,
pendant-lights,ANKUR DIAMOND CAGE HANGING LIGHT,"₹ 1,950",//www.ankurlighting.com/cdn/shop/products/ankur-diamond-cage-hanging-light-ankur-lighting-1.jpg?v=1695131407&width=1250,Ankur Lighting,Metal,Black,Indoor (Dry Rated),,,12 Months,Surface,(1.4 feet) 430,(1.45 feet) 442,E27,,,,,,,,,,
pendant-lights,ANKUR BRASS HOLDER HANGING WITHOUT LAMP,₹ 850,//www.ankurlighting.com/cdn/shop/products/ankur-brass-holder-hanging-ankur-lighting-1.jpg?v=1695131576&width=1250,Ankur Lighting,Metal,Antique Brass,Indoor (Dry Rated),,IP 20,12 Months,Surface,,,E27,,,,,,,,,,
pendant-lights,ANKUR CAGED LID PENDANT LIGHT,"₹ 2,450",//www.ankurlighting.com/cdn/shop/products/ankur-caged-lid-pendant-light-ankur-lighting-1.jpg?v=1695131527&width=1250,Ankur Lighting,Aluminium,Black / White / Red,Indoor (Dry Rated),,IP 20,12 Months,Surface,225MM (0.73 Feet),280MM (0.98 Feet),E27,,,,,,,,,,
pendant-lights,ANKUR CHRONA UFO DISH GOLD LED PENDANT LIGHT,"₹ 7,500",//www.ankurlighting.com/cdn/shop/products/ankur-chrona-ufo-dish-gold-led-pendant-light-ankur-lighting-1.jpg?v=1695132749&width=1250,Ankur Lighting,Aluminium,Gold,Indoor (Dry Rated),China,,12 Months,,,400MM (1.3feet.),LED SMD,,,3000K,,,,,18,,
pendant-lights,ANKUR ORB FEATHER LITE CONCRETE HANGING LIGHT,"₹ 8,800",//www.ankurlighting.com/cdn/shop/products/ankur-orb-feather-lite-concrete-hanging-light-ankur-lighting-1.jpg?v=1695131548&width=1250,,,,,India,,,,,,,,,,,,,,,,
pendant-lights,ANKUR DMNS RED CONE GLASS PENDANT LIGHT,"₹ 1,250",//www.ankurlighting.com/cdn/shop/products/ankur-dmns-red-cone-glass-pendant-light-ankur-lighting-1.jpg?v=1695131964&width=1250,Ankur Lighting,Glass,Red,Indoor (Dry Rated),,IP 20,12 Months,Surface,400MM (1.31 feet.),125MM (0.41 feet.),E27,,,,,,,,,,
pendant-lights,ANKUR PENCIL ROXX SLIM TUBE LED PENDANT LIGHT,"₹ 3,250",//www.ankurlighting.com/cdn/shop/products/ankur-pencil-roxx-slim-tube-led-pendant-light-ankur-lighting-1.jpg?v=1695131990&width=1250,Ankur Lighting,Metal,"Black, White, Chrome, Copper, Gold",Indoor (Dry Rated),India,IP 20,12 Months,Surface,600mm (2 FEET),40MM (0.132 FEET),LED COB,,,,,,,,6,,
pendant-lights,ANKUR LISA NORDIC GLASS VASE LED PENDANT LIGHT,"₹ 16,500",//www.ankurlighting.com/cdn/shop/products/ankur-lisa-nordic-glass-vase-led-pendant-light-ankur-lighting-1.jpg?v=1695131746&width=1250,Ankur Lighting,Glass,Amber / Smoke,Indoor (Dry Rated),,IP 20,12 Months,Surface,200MM (0.65 feet.),200MM (0.65 feet.),LED SMD,,,,,,,,10,,
pendant-lights,ANKUR SOMERSET GLASS PENDANT LIGHT,"₹ 12,500",//www.ankurlighting.com/cdn/shop/products/ankur-somerset-glass-pendant-light-ankur-lighting-1.jpg?v=1695131847&width=1250,Ankur Lighting,Metal,Gold / Milky White,Indoor (Dry Rated),China,IP 20,12 Months,Surface,900MM (2.95 feet.),220MM (0.72 feet.),E27,,,,,,,,,,
pendant-lights,ANKUR CONCRETE SPHERICAL HANGING,"₹ 6,800",//www.ankurlighting.com/cdn/shop/products/ankur-concrete-spherical-hanging-ankur-lighting-1.jpg?v=1695131675&width=1250,Ankur Lighting,Concrete,Rough Concrete finish,Indoor (Dry Rated),,IP 20,12 Months,Surface,180MM (0.59 feet.),120MM (0.39 feet.),E27,,,,,,,,,,
pendant-lights,ANKUR METAL MESH CYLINDRICAL CONCRETE HANGING,"₹ 5,400",//www.ankurlighting.com/cdn/shop/products/ankur-metal-mesh-cylindrical-concrete-hanging-ankur-lighting-1.jpg?v=1695131548&width=1250,Ankur Lighting,Concrete,Grey,Indoor (Dry Rated),,IP 20,12 Months,Surface,210MM (0.68 feet.),150MM (0.49 feet.),E27,,,,,,,,,,
pendant-lights,ANKUR METAL WIRE CAGE HANGING LIGHT,"₹ 2,400",//www.ankurlighting.com/cdn/shop/products/ankur-metal-wire-cage-hanging-light-ankur-lighting-1.jpg?v=1695131422&width=1250,Ankur Lighting,Metal,Black and Brass,Indoor (Dry Rated),,IP 20,12 Months,Surface,160MM (0.52 feet.),140MM (0.45 feet.),E27,,,,,,,,,,
pendant-lights,ANKUR MAYA GOLDEN GRADIENT GLASS GLOBE HANGING LIGHT,"₹ 6,900",//www.ankurlighting.com/cdn/shop/products/ankur-maya-golden-gradient-glass-globe-hanging-light-ankur-lighting-1.jpg?v=1695131247&width=1250,Ankur Lighting,Glass,Golden Gradient,Indoor (Dry Rated),China,,12 Months,Surface,,350MM (1.1feet.),E27,,,,,,,,,,
pendant-lights,ANKUR DOMA FLORA GLASS DOME AND CRYSTAL LED HANGING CHANDELIER,"₹ 19,900",//www.ankurlighting.com/cdn/shop/files/Ch1.jpg?v=1704909188&width=1250,Ankur Lighting,Glass,Clear,Indoor (Dry Rated),China,,12 Months,Surface,,500MM (1.64 feet.),,,,,,,,,,,
pendant-lights,ANKUR DOMA PEARL GLASS DOME AND CRYSTAL LED HANGING CHANDELIER,"₹ 19,900",//www.ankurlighting.com/cdn/shop/files/Philips-Ceiling-And-Suspension-Light-2.jpg?v=1704906124&width=1250,Ankur Lighting,Glass,Smoke Grey,Indoor (Dry Rated),China,,12 Months,,,500MM (1.64 feet.),,,,,,,,,,,
pendant-lights,ANKUR ERA RINGO 6W CYLINDER TUBE LED HANGING LIGHT,"₹ 3,450",//www.ankurlighting.com/cdn/shop/files/ankur-era-ringo-6w-cylinder-tube-led-hanging-light-ankur-lighting-1.jpg?v=1695133142&width=1250,Ankur Lighting,Aluminium,White,Indoor (Dry Rated),India,IP 20,12 Months,Surface,300MM (1 Feet),55MM (0.18 Feet),LED COB,,,6500K,With Dimmable Driver (Optional),,,,5,,
pendant-lights,ANKUR BUCKET HANGING LIGHT,"₹ 6,450",//www.ankurlighting.com/cdn/shop/products/ankur-bucket-hanging-light-ankur-lighting-1.jpg?v=1695132437&width=1250,Ankur Lighting,Aluminium,Gold,Indoor (Dry Rated),,IP 20,12 Months,Surface,260MM (0.85 feet.),440MM (1.44 feet.),E27,,,,,,,,,,
pendant-lights,ANTIQUE BRASS GLASS GLOBE HANGING LIGHT,"₹ 22,500",//www.ankurlighting.com/cdn/shop/products/antique-brass-glass-globe-hanging-light-ankur-lighting-1.jpg?v=1695132187&width=1250,Ankur Lighting,Glass,Antique Brass,Indoor (Dry Rated),,IP 20,12 Months,Surface,435MM (1.43 feet.),245MM (0.8 feet.),E27,,,,No,,,,,,
pendant-lights,ANTIQUE BRASS GLASS CYLINDER HANGING LIGHT,"₹ 22,500",//www.ankurlighting.com/cdn/shop/products/antique-brass-glass-cylinder-hanging-light-ankur-lighting-1.jpg?v=1695132187&width=1250,Ankur Lighting,Glass,Antique Brass,Indoor (Dry Rated),,IP 20,12 Months,Surface,435MM (1.43 feet.),260MM (0.85 feet.),E27,,,,No,,,,,,
pendant-lights,ANKUR RETRO NATURAL BAMBOO CANE AND FABRIC PENDANT LIGHT DARK BROWN,"₹ 16,500",//www.ankurlighting.com/cdn/shop/products/ankur-retro-natural-bamboo-cane-and-fabric-pendant-light-dark-brown-ankur-lighting-1.jpg?v=1695131703&width=1250,Ankur Lighting,Bamboo / Cane,Brown,Indoor (Dry Rated),India,IP 20,12 Months,Surface,300MM (1 Feet.),300MM (1 Feet.),E27,,,,,,,,,,
pendant-lights,ANKUR RETRO CONICAL NATURAL BAMBOO CANE AND FABRIC PENDANT LIGHT,"₹ 12,500",//www.ankurlighting.com/cdn/shop/products/ankur-retro-conical-natural-bamboo-cane-and-fabric-pendant-light-ankur-lighting-1.jpg?v=1695131702&width=1250,Ankur Lighting,Cane,Blue Fabric,Indoor (Dry Rated),India,,12 Months,Surface,360MM (1.18 feet.),250MM (0.82 feet.),E27,,,,,,,,,,
pendant-lights,ANKUR CANE MESH EGG PENDANT LIGHT,"₹ 4,600",//www.ankurlighting.com/cdn/shop/products/ankur-cane-mesh-egg-pendant-light-ankur-lighting-1.jpg?v=1695131830&width=1250,Ankur Lighting,Bamboo / Cane,,Indoor (Dry Rated),China,IP 20,12 Months,Surface,300MM (0.98 feet.),350MM (1.15 feet.),E27,,,,,,,,,,
pendant-lights,ANKUR NILE CANE MESH HANGING LIGHT,"₹ 16,000",//www.ankurlighting.com/cdn/shop/products/ankur-nile-cane-mesh-hanging-light-ankur-lighting-1.png?v=1695131809&width=1250,Ankur Lighting,Bamboo / Cane,,Indoor (Dry Rated),,,12 Months,Surface,500MM (1.64 feet.),,E27,470MM (1.54 feet.),,,,,,,,,
pendant-lights,ANKUR SWISS 3 LIGHT MILKY GLASS GLOBE CHANDELIER WITH GOLD METAL,"₹ 14,000",//www.ankurlighting.com/cdn/shop/products/ankur-swiss-3-light-milky-glass-globe-chandelier-with-gold-metal-ankur-lighting-1.jpg?v=1695132187&width=2953,Ankur Lighting,Metal,Golden,Indoor (Dry Rated),,IP 20,12 Months,Surface,1100MM (3.6 Feet),400MM (1.3 Feet),E27,,,,,,,,,,
pendant-lights,ANKUR OSAKA GOLD METAL CAGE HANGING LIGHT,"₹ 11,500",//www.ankurlighting.com/cdn/shop/products/ankur-osaka-gold-metal-cage-hanging-light-ankur-lighting-1.jpg?v=1695132186&width=1250,Ankur Lighting,Metal,Golden,Indoor (Dry Rated),,IP 20,12 Months,Surface,400MM (1.13 Feet),400MM (1.13 Feet),E27,,,,,,,,,,
pendant-lights,ANKUR TOKYO METAL MESH HANGING LIGHT,"₹ 20,500",//www.ankurlighting.com/cdn/shop/products/ankur-tokyo-metal-mesh-hanging-light-ankur-lighting-1.jpg?v=1695132172&width=1250,Ankur Lighting,Metal,,Indoor (Dry Rated),,,12 Months,Surface,300MM (0.98 feet.),400MM (1.31 feet.),E27,,,,,,,,,,
pendant-lights,ANKUR ARIZONA 2 LIGHT MILKY GLOBE WITH GOLD METAL HANGING LIGHT,"₹ 9,800",//www.ankurlighting.com/cdn/shop/products/ankur-arizona-2-light-milky-globe-with-gold-metal-hanging-light-ankur-lighting-1.jpg?v=1695132172&width=1250,Ankur Lighting,Metal,Gold / Milky Glass,Indoor (Dry Rated),,IP 20,12 Months,Surface,450MM (1.48 feet.),,E14,250MM (0.82 feet.),250MM (0.82 feet.),,No,,,,,,
pendant-lights,ANKUR GEOM DOUBLE LINEAR AND ROUND LED PENDANT LIGHT,"₹ 28,500",//www.ankurlighting.com/cdn/shop/products/ankur-geom-double-linear-and-round-led-pendant-light-ankur-lighting-1.jpg?v=1695132172&width=1250,Ankur Lighting,Metal,Black,Indoor (Dry Rated),,IP 20,12 Months,Surface,,,LED SMD,1200MM (3.94 feet.),400MM (1.31 feet.),,,,,,,,
pendant-lights,ANKUR GEOM CONTEMPORARY ROUND LINEAR MAGNETIC LED PENDANT LIGHT,"₹ 19,500",//www.ankurlighting.com/cdn/shop/products/ankur-geom-contemporary-round-linear-magnetic-led-pendant-light-ankur-lighting-1.jpg?v=1695132172&width=1250,Ankur Lighting,Metal,Black,Indoor (Dry Rated),,IP 20,12 Months,Surface,,,LED SMD,1200MM (3.94 feet.),405MM (1.33 feet.),,,,,,,,
pendant-lights,ANKUR GEOM CONTEMPORARY LINEAR PENDANT LIGHT,"₹ 20,500",//www.ankurlighting.com/cdn/shop/products/ankur-geom-contemporary-linear-pendant-light-ankur-lighting-1.jpg?v=1695132147&width=1250,Ankur Lighting,Metal,Black,Indoor (Dry Rated),,IP 20,12 Months,Surface,,,LED SMD,1210MM (3.97 feet.),300MM (0.98 feet.),,,,,,,,
pendant-lights,ANKUR WILDER DOME HANGING LIGHT,"₹ 6,500",//www.ankurlighting.com/cdn/shop/products/ankur-wilder-dome-hanging-light-ankur-lighting-1.jpg?v=1695131782&width=1250,Ankur Lighting,Metal,Copper,Indoor (Dry Rated),,,,Surface,350MM (1.15 feet.),500MM (1.64 feet.),E27,,,,,,,,,,
pendant-lights,ANKUR BARN METAL PENDANT LIGHT,"₹ 2,450",//www.ankurlighting.com/cdn/shop/products/ankur-barn-metal-pendant-light-ankur-lighting-1.jpg?v=1695131421&width=1250,Ankur Lighting,Aluminium,Red,Indoor (Dry Rated),,IP 20,12 Months,Surface,(8.8 inch) 225,(11 inch) 280,E27,,,,No,,,,,,
pendant-lights,ANKUR PAINTED CONE CONCRETE HANGING,"₹ 7,800",//www.ankurlighting.com/cdn/shop/products/ankur-painted-cone-concrete-hanging-ankur-lighting-1.jpg?v=1695131565&width=1250,,,,,,,,,,,,,,,,,,,,,
pendant-lights,ANKUR SLIM CONE LUNGO COFFEE COLOUR LED PENDANT LIGHT,"₹ 6,800",//www.ankurlighting.com/cdn/shop/files/ankur-slim-cone-lungo-coffee-colour-led-pendant-light-ankur-lighting-1.jpg?v=1695131597&width=1250,Ankur Lighting,Metal,Coffee finish,Indoor (Dry Rated),,IP 20,12 Months,Surface,715MM (2.34 Feet.),30MM (0.09 Feet.),LED COB,,,,,,,,5,,
pendant-lights,Ankur Painted Cylindrical Concrete Hanging,"₹ 7,800",//www.ankurlighting.com/cdn/shop/products/ankur-painted-cylindrical-concrete-hanging-ankur-lighting-1.jpg?v=1695131654&width=1250,,,,,,,,,,,,,,,,,,,,,
pendant-lights,ANKUR TRI COLOURED PYRAMID CONCRETE HANGING LIGHT,"₹ 5,500",//www.ankurlighting.com/cdn/shop/products/ankur-tri-coloured-pyramid-concrete-hanging-light-ankur-lighting-1.jpg?v=1695131548&width=1080,,,,,,,,,,,,,,,,,,,,,
pendant-lights,ANKUR CONE GLASS PENDANT,"₹ 6,800",//www.ankurlighting.com/cdn/shop/products/ankur-cone-glass-pendant-ankur-lighting-1.jpg?v=1695131746&width=1250,Ankur Lighting,Glass,Brass Gold,Indoor (Dry Rated),,IP 20,12 Months,Surface,160MM (0.52 feet.),210MM (0.69 feet.),E27,,,,,,,,,,
pendant-lights,ANKUR STAN METAL HANGING LIGHT,"₹ 2,950",//www.ankurlighting.com/cdn/shop/products/ankur-stan-metal-hanging-light-ankur-lighting-1.jpg?v=1695131809&width=1250,Ankur Lighting,Metal,Brush Gold / Black,Indoor (Dry Rated),,IP 20,12 Months,Surface,350MM (1.14 Feet),450MM (1.47 Feet),E27,,,,,,,,,,
pendant-lights,Ankur Metal Mesh Round Concrete Hanging,"₹ 4,850",//www.ankurlighting.com/cdn/shop/products/ankur-metal-mesh-round-concrete-hanging-ankur-lighting-1.jpg?v=1695131548&width=1250,Ankur Lighting,Concrete,Grey,Indoor (Dry Rated),,IP 20,12 Months,Surface,160MM (0.52 feet.),160MM (0.52 feet.),E27,,,,,,,,,,
pendant-lights,ANKUR MINI CUBE CONCRETE HANGING,"₹ 4,400",//www.ankurlighting.com/cdn/shop/products/ankur-mini-cube-concrete-hanging-ankur-lighting-1.jpg?v=1695131566&width=1250,Ankur Lighting,Concrete,Grey,Indoor (Dry Rated),,IP 20,12 Months,Surface,105MM (0.34 feet.),105MM (0.34 feet.),E14,,,,,,,,,,
pendant-lights,ANKUR CONCRETE CYLINDRICAL HANGING LIGHT,"₹ 3,800",//www.ankurlighting.com/cdn/shop/products/ankur-concrete-cylindrical-hanging-light-ankur-lighting-1.jpg?v=1695131566&width=1250,Ankur Lighting,Concrete,,Indoor (Dry Rated),,IP 20,12 Months,Surface,220MM (0.72 feet.),180MM (0.59 feet.),E27,,,,,,,,,,
pendant-lights,ANKUR CYLINDER PENDANT HANGING SPOT LIGHT,"₹ 4,500",//www.ankurlighting.com/cdn/shop/files/ankur-cylinder-pendant-hanging-spot-light-ankur-lighting-1.jpg?v=1695131356&width=1250,Ankur Lighting,Aluminium,Black,Indoor (Dry Rated),,IP 20,12 Months,Surface,116MM (4.5 inch),100 MM (4 inch),LED COB,,,6500K,,,,,15,AC100-240V,
pendant-lights,ANKUR JANE RETRO NATURAL BAMBOO CANE AND FABRIC PENDANT LIGHT,"₹ 18,500",//www.ankurlighting.com/cdn/shop/products/ankur-jane-retro-natural-bamboo-cane-and-fabric-pendant-light-ankur-lighting-1.jpg?v=1695131724&width=1250,Ankur Lighting,Bamboo / Cane,,Indoor (Dry Rated),,IP 20,12 Months,Surface,380MM (1.25 feet.),350MM (1.15 feet.),E27,,,,,,,,,,
